Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C
23.3397561,137,-0.013,19,26,26
23.3497561,136,-0.013,19,26,26
23.3597561,125,-0.013,19,26,26
23.3697561,144,-0.013,19,26,26
23.3797561,131,-0.013,19,26,26
23.3897561,141,-0.013,19,26,26
23.3997561,141,-0.013,19,26,26
23.4097561,142,-0.013,19,26,26
23.4197561,120,-0.013,19,26,26
23.4297561,136,-0.013,19,26,26
23.4129148,146,-0.003,19,26,26
23.4229148,131,-0.003,19,26,26
23.4329148,141,-0.003,19,26,26
23.4429148,128,-0.003,19,26,26
23.4529148,138,-0.003,19,26,26
23.4629148,134,-0.003,19,26,26
23.4729148,145,-0.003,19,26,26
23.4829148,134,-0.003,19,26,26
23.4929148,142,-0.003,19,26,26
23.5029148,122,-0.003,19,26,26
23.5478411,135,-0.006,19,26,26
23.5578411,146,-0.006,19,26,26
23.5678411,133,-0.006,19,26,26
23.5778411,139,-0.006,19,26,26
23.5878411,129,-0.006,19,26,26
23.5978411,137,-0.006,19,26,26
23.6078411,132,-0.006,19,26,26
23.6178411,146,-0.006,19,26,26
23.6278411,137,-0.006,19,26,26
23.6378411,139,-0.006,19,26,26
23.6082817,122,0.007,19,26,26
23.6182817,136,0.007,19,26,26
23.6282817,137,0.007,19,26,26
23.6382817,141,0.007,19,26,26
23.6482817,136,0.007,19,26,26
23.6582817,129,0.007,19,26,26
23.6682817,145,0.007,19,26,26
23.6782817,125,0.007,19,26,26
23.6882817,140,0.007,19,26,26
23.6982817,149,0.007,19,26,26
23.7585804,135,0,19,26,26
23.7685804,114,0,19,26,26
23.7785804,148,0,19,26,26
23.7885804,137,0,19,26,26
23.7985804,137,0,19,26,26
23.8085804,138,0,19,26,26
23.8185804,126,0,19,26,26
23.8285804,144,0,19,26,26
23.8385804,131,0,19,26,26
23.8485804,141,0,19,26,26
23.8371152,141,-0.018,19,26,26
23.8471152,143,-0.018,19,26,26
23.8571152,119,-0.018,19,26,26
23.8671152,137,-0.018,19,26,26
23.8771152,147,-0.018,19,26,26
23.8871152,130,-0.018,19,26,26
23.8971152,140,-0.018,19,26,26
23.9071152,129,-0.018,19,26,26
23.9171152,139,-0.018,19,26,26
23.9271152,133,-0.018,19,26,26
23.9681805,125,0.02,19,26,26
23.9781805,137,0.02,19,26,26
23.9881805,137,0.02,19,26,26
23.9981805,146,0.02,19,26,26
24.0081805,131,0.02,19,26,26
24.0181805,139,0.02,19,26,26
24.0281805,130,0.02,19,26,26
24.0381805,137,0.02,19,26,26
24.0481805,144,0.02,19,26,26
24.0581805,137,0.02,19,26,26
24.06153,138,-0.007,19,26,26
24.07153,125,-0.007,19,26,26
24.08153,137,-0.007,19,26,26
24.09153,139,-0.007,19,26,26
24.10153,143,-0.007,19,26,26
24.11153,133,-0.007,19,26,26
24.12153,135,-0.007,19,26,26
24.13153,131,-0.007,19,26,26
24.14153,146,-0.007,19,26,26
24.15153,126,-0.007,19,26,26
24.1696477,153,-0.013,19,26,26
24.1796477,135,-0.013,19,26,26
24.1896477,116,-0.013,19,26,26
24.1996477,149,-0.013,19,26,26
24.2096477,135,-0.013,19,26,26
24.2196477,138,-0.013,19,26,26
24.2296477,137,-0.013,19,26,26
24.2396477,139,-0.013,19,26,26
24.2496477,127,-0.013,19,26,26
24.2596477,144,-0.013,19,26,26
24.3930823,136,0.011,19,26,26
24.4030823,140,0.011,19,26,26
24.4130823,144,0.011,19,26,26
24.4230823,119,0.011,19,26,26
24.4330823,139,0.011,19,26,26
24.4430823,137,0.011,19,26,26
24.4530823,146,0.011,19,26,26
24.4630823,131,0.011,19,26,26
24.4730823,140,0.011,19,26,26
24.4830823,129,0.011,19,26,26
24.4128521,139,-0.003,19,26,26
24.4228521,142,-0.003,19,26,26
24.4328521,135,-0.003,19,26,26
24.4428521,143,-0.003,19,26,26
24.4528521,125,-0.003,19,26,26
24.4628521,136,-0.003,19,26,26
24.4728521,137,-0.003,19,26,26
24.4828521,146,-0.003,19,26,26
24.4928521,132,-0.003,19,26,26
24.5028521,142,-0.003,19,26,26
24.5405737,126,0.019,19,26,26
24.5505737,140,0.019,19,26,26
24.5605737,137,0.019,19,26,26
24.5705737,143,0.019,19,26,26
24.5805737,134,0.019,19,26,26
24.5905737,137,0.019,19,26,26
24.6005737,131,0.019,19,26,26
24.6105737,145,0.019,19,26,26
24.6205737,133,0.019,19,26,26
24.6305737,149,0.019,19,26,26
24.6310505,149,-0.004,19,26,26
24.6410505,137,-0.004,19,26,26
24.6510505,138,-0.004,19,26,26
24.6610505,139,-0.004,19,26,26
24.6710505,129,-0.004,19,26,26
24.6810505,143,-0.004,19,26,26
24.6910505,130,-0.004,19,26,26
24.7010505,144,-0.004,19,26,26
24.7110505,142,-0.004,19,26,26
24.7210505,142,-0.004,19,26,26
24.7400828,120,0,19,26,26
24.7500828,140,0,19,26,26
24.7600828,145,0,19,26,26
24.7700828,132,0,19,26,26
24.7800828,142,0,19,26,26
24.7900828,130,0,19,26,26
24.8000828,138,0,19,26,26
24.8100828,133,0,19,26,26
24.8200828,146,0,19,26,26
24.8300828,136,0,19,26,26
24.8495718,142,0.016,19,26,26
24.8595718,126,0.016,19,26,26
24.8695718,137,0.016,19,26,26
24.8795718,145,0.016,19,26,26
24.8895718,131,0.016,19,26,26
24.8995718,142,0.016,19,26,26
24.9095718,131,0.016,19,26,26
24.9195718,137,0.016,19,26,26
24.9295718,133,0.016,19,26,26
24.9395718,147,0.016,19,26,26
25.0710495,145,-0.013,19,26,26
25.0810495,150,-0.013,19,26,26
25.0910495,124,-0.013,19,26,26
25.1010495,139,-0.013,19,26,26
25.1110495,136,-0.013,19,26,26
25.1210495,139,-0.013,19,26,26
25.1310495,138,-0.013,19,26,26
25.1410495,139,-0.013,19,26,26
25.1510495,128,-0.013,19,26,26
25.1610495,145,-0.013,19,26,26
25.1270456,130,0.014,19,26,26
25.1370456,143,0.014,19,26,26
25.1470456,148,0.014,19,26,26
25.1570456,123,0.014,19,26,26
25.1670456,138,0.014,19,26,26
25.1770456,136,0.014,19,26,26
25.1870456,146,0.014,19,26,26
25.1970456,132,0.014,19,26,26
25.2070456,143,0.014,19,26,26
25.2170456,129,0.014,19,26,26
25.2645342,136,-0.018,19,26,26
25.2745342,142,-0.018,19,26,26
25.2845342,127,-0.018,19,26,26
25.2945342,135,-0.018,19,26,26
25.3045342,147,-0.018,19,26,26
25.3145342,131,-0.018,19,26,26
